資料集序號,資料集名稱,提供部會
1,野生動物重要棲息環境,行政院農業委員會
2,特生中心102 年繁殖鳥大調查資料集,行政院農業委員會
3,特生中心103 年度繁殖鳥大調查資料,行政院農業委員會
4,特生中心社區蝴蝶調查資料集,行政院農業委員會
5,特生中心蛾調志工蛾類調查資料集,行政院農業委員會
6,特生中心慕光之城蛾類時空分布資料集,行政院農業委員會
7,特生中心臉書社團植物調查資料集,行政院農業委員會
8,特有生物研究保育中心臉書社團蜘蛛調查資料集,行政院農業委員會
9,特有生物研究保育中心臉書社團蝸牛調查資料集,行政院農業委員會
10,植物疫情,行政院農業委員會
11,特有生物研究保育中心(植物),行政院農業委員會
12,台灣保育類野生動物名錄,行政院農業委員會
13,台灣特有種動物清單資料集,行政院農業委員會
14,台灣特有種植物清單資料集,行政院農業委員會
15,台灣鱗翅目基本資料集,行政院農業委員會
16,特有生物研究保育中心臉書社團路殺社資料集,行政院農業委員會
17,森林步道,行政院農業委員會
18,林務局所轄自然步道軌跡圖,行政院農業委員會
19,國家森林遊樂區,行政院農業委員會
20,全國休閒農業區旅遊資訊,行政院農業委員會
21,產銷履歷,行政院農業委員會
22,每月盛產農產品產地,行政院農業委員會
23,擁抱田園風光-農村旅遊資訊,行政院農業委員會
24,體驗農村生活-農村主題旅遊規劃,行政院農業委員會
25,富麗農村,行政院農業委員會
26,潮汐預報-未來1 個月潮汐預報,交通部中央氣象局
27,十分鐘雨量資料,行政院環境保護署
28,河川水質監測資料,行政院環境保護署
29,酸雨監測,行政院環境保護署
30,空氣品質即時污染指標,行政院環境保護署
31,空氣品質預報資料,行政院環境保護署
32,紫外線即時監測資料,行政院環境保護署
33,紫外線預報,行政院環境保護署
34,環保新聞,行政院環境保護署
35,人文歷史藝術深度旅遊主題路線,行政院文化部
36,古蹟資訊,行政院文化部
37,文化景觀,行政院文化部
38,觀光工廠名錄,經濟部工業局
39,原鄉旅遊路線,行政院原住民族委員會
40,台灣原住民族古道簡介資料,行政院原住民族委員會
41,原民特色景點,行政院原住民族委員會
42,拜訪部落-擁抱25 條臺灣原住民私房景點路線,行政院原住民族委員會
43,數位台灣客家庄-文化景觀,行政院客家委員會
44,數位台灣客家庄-遺址,行政院客家委員會
45,數位台灣客家庄-聚落,行政院客家委員會
46,數位台灣客家庄-古蹟歷史建築,行政院客家委員會
47,客庄景點,行政院客家委員會
48,國民中學校別資料,教育部統計處
49,全臺灣大專校院通訊資料,教育部統計處
50,國民高中校別資料,教育部統計處
51,幼稚園,教育部統計處
52,全國立案短期補習班基本資料,教育部統計處
53,產後護理之家,台北市衛生局 
54,公園,臺北市政府工務局
55,社區,文化部
56,市場,台北市市場處
57,縣市天氣預報資料,交通部氣象局
58,農地空間分配圖-作物適栽等級圖,行政院農業委員會
59,土壤管理組圖,行政院農業委員會
60,重要農業害蟲診斷圖鑑,行政院農業委員會
61,農藥名稱手冊,行政院農業委員會
62,肥料管理整合資訊,行政院農業委員會
63,農情調查,行政院農業委員會
64,農產品交易行情,行政院農業委員會
65,糧價查詢,行政院農業委員會
66,逐3小時天氣預報,交通部中央氣象局
67,過去24小時觀測資料,交通部中央氣象局
68,農藥殘留容許量標準,衛生福利部
69,農作物類農產品分類表,衛生福利部
70,一般高級中等學校名錄,教育部
71,大專校院名錄,教育部
72,大專院校校別學生數,教育部
73,大專校院各校科系別概況,教育部
74,大專院校各校科系別學生數,教育部
75,大專院校各科系所學生數,教育部
76,大學校院系所彙整表,教育部
77,大學、技專校院各系所註冊率,教育部
78,技專校院產學合作績效及學校研發能量,教育部
79,大專校院各校科系別專任教師數,教育部
80,修讀校際選課人次,教育部
81,修讀雙主修人次,教育部
82,修讀輔系人次,教育部
83,職能基準資料,勞動部勞動力發展署
84,行業標準分類,行政院主計總處
85,公司設立登記清冊,經濟部商業司
86,景點-觀光資訊資料庫,交通部觀光局
87,旅館民宿-觀光資訊資料庫,交通部觀光局
88,餐飲-觀光資訊資料庫,交通部觀光局
89,病蟲害診斷服務問答集,行政院農業委員會
90,蔬果重要害蟲防疫旬報,行政院農業委員會
91,雲嘉南地區土壤性質分析資料,行政院農業委員會
92,雨水酸鹼度值資料,交通部中央氣象局
93,地籍圖資網路便民服務系統,行政院內政部地政司
94,登記工廠名錄,經濟部工業局
95,經濟部工業局所轄工業區已租售土地建廠使用情形,經濟部工業局
96,都市及區域發展統計彙編 ─ 2-6. 工業區開發,經濟部工業局
97,都市及區域發展統計彙編 ─ 2-2. 都市計畫區土地使用分區面積,內政部營建署
98,都市及區域發展統計彙編 ─ 2-3.非都市土地使用分區面積,內政部營建署
