公司序號,公司名稱,"資本額
(index)","營收
(index)",行業別,"應用領域
(index)",網址連結,公司地址,電話,傳真,服務信箱
32,永慶房屋仲介股份有限公司,300000000,63000000.0,不動產業,資料工具與技術, https://www.yungching.tw, 台北市大安區敦化南路二段77號12樓, 02-27051380, 02-27035530,
2,景翊科技股份有限公司,24160000,3430000.0,技術服務業,交通與運輸,http://www.tms.com.tw/,台北市內湖區瑞光路258巷53號6樓, 02-2656-1968 #200, 02-2656-2768, yichun@tms.com.tw
4,豐聯資訊股份有限公司,10000000,3200000.0,技術服務業,食品與農業, http://www.ils.com.tw/zh/home,台中市大雅區中科路6號2樓之3, 04-3503-0921, 04-2568-2285, service@mail.ils.com.tw
8,北極星測繪科技有限公司,10000000,53401000.0,技術服務業,地理資訊與圖資, http://www.rs-survey.com/, 基隆市暖暖區暖碇路169號9樓, 02-2458-5699, 02-2459-4531, service@rs-survey.com
9,德克皇工程科技顧問股份有限公司,10000000,9100000.0,技術服務業,資料工具與技術, http://www.dhtech.tw/, 新北市中和區中山路二段362-5號6樓, 02-66205560, 02-66205561, dh.tech@msa.hinet.net
11,意藍資訊股份有限公司,162660000,10401978.0,技術服務業,資料工具與技術, https://www.eland.com.tw/, 台北市大安區信義路4段184號, 02-2755-1533#830, 02-2755-7311, sales@eland.com.tw
15,資拓宏宇國際股份有限公司,714960210,,技術服務業,資料工具與技術, http://www.iisigroup.com,新北市板橋區縣民大道二段7號6樓, (02) 8175-8888分機5268, (02)8175-8886, Sarah.lin@iisigroup.com
17,天思數位科技股份有限公司,10000000,,技術服務業,資料工具與技術, http://www.geosense.tw/product_gov.html,臺中市西屯區何成里大容西街51號3樓之2,(04)24516932, (04)24516936, how@geosense.tw
18,硬是愛數據應用股份有限公司,3500000,0.0,技術服務業,資料工具與技術,https://insighteye.com.tw/, 台北市大安區信義路四段170號3樓,02-2701-7136,, nighthawk@insighteye.com.tw
19,恆鼎科技股份有限公司,72299950,3880000.0,技術服務業,生活與消費, http://www.loremaster.com.tw/,台北市中山區中山北路三段47號4樓, 02-2585-0738 #301,02-2585-6627, PingW@t-seed.com
20,究心公益科技股份有限公司,22380000,,技術服務業,地理資訊與圖資, https://www.facebook.com/GeoThings, 新竹縣竹北市復興三路二段168號6樓, 03-6210-310,, service@geothings.tw
21,台灣析數資訊股份有限公司,80158550,7800000.0,技術服務業,資料工具與技術, http://www.asia-analytics.com.tw/tw/about.jsp, 台北市內湖路一段356號5樓, 02-77287958, 02-26270667, rickwei@ asia-analytics.com.tw
22,众社企股份有限公司,28880000,,技術服務業,生活與消費,https://ourcitylove.wixsite.com/ourcitylove,新竹市東南街 167 巷 57 號 1 樓, (03) 5611583, (03) 5611582, ourcitylove@gamil.com
23,大數據企業有限公司,3600000,0.0,技術服務業,資料工具與技術, http://www.e-ideas.com.tw,台北市南港區三重路 19 11 號 3F( 南港軟體 園區 E 棟), (02)2655 0850, (02)2655 0860, jessica@e ideas.com.tw
24,精誠資訊股份有限公司,2693933040,6370000.0,技術服務業,資料工具與技術,https://tw.systex.com/,台北市內湖區瑞光路318號, 02-7720-1888,, webmaster@systex.com
26,英特內軟體股份有限公司,55000000,1000000.0,技術服務業,食品與農業, http://www.interinfo.com.tw, 新北市中和區建一路150號6樓之3, 02-8227-1675, 02-8226-3380,
27,雍盛科技股份有限公司,5000000,,技術服務業,地理資訊與圖資, http://www.ysong.com.tw, 台中市烏日區高鐵五路156號4F-6, 04 -23379448,,
28,棋苓股份有限公司,10000000,103000.0,技術服務業,生活與消費, http://www.chylyng.com,桃園市蘆竹區富國路三段1200號5樓, 03-352 1598,, chylyngcorp@gmail.com
29,台塑網科技股份有限公司,234000000,39880000.0,技術服務業,資料工具與技術, http://www.efpg.com.tw/, 台北市松山區民生東路四段54號10樓1002室, 02-27122211, 02-27188746, service@fpg.com.tw
35,全球國際網際有限公司,4500000,,技術服務業,食品與農業,,南投市彰南路三段423號,049-2258703,,wellowking2@gmail.com
37,智影顧問股份有限公司,29000000,,技術服務業,資料工具與技術,https://www.pisolutions.tech/, 台北市大安區信義路四段55號5樓,02-27846091, 02-27840826, service@pisolutions.tech
40,巨鷗科技股份有限公司,22300000,,技術服務業,資料工具與技術,https://www.geo.com.tw/Entrance/Home,台中市西屯區朝富路213號21樓之11, (04)22985258#230, (04)22936443,zona@geo.com.tw
44,天脈科技股份有限公司,10000000,9154242.0,技術服務業,交通與運輸,https://www.smartbeeintel.com/en/, 台北市中山區南京東路二段137號14樓, (02)7745-8405,, service@smartbeeintel.com
45,漢名科技股份有限公司,12000000,3600000.0,技術服務業,交通與運輸, http://www.hantek.com.tw/,桃園市蘆竹區南崁路一段99號8樓之7, 03-212-0999, 03-352-6982, service@hantek.com.tw
46,優像數位媒體科技股份有限公司,63244510,6239804.0,技術服務業,生活與消費, https://www.pixnet.net, 臺北市中山區民生東路二段149號3樓, (02) 25026800, (02) 25090058, marketing@pixnet.tw
52,科智企業股份有限公司,55300000,,技術服務業,資料工具與技術, http://www.servtech.com.tw/,台北市中山區松江路76號5樓, 02-2562-2733#56, 02-2562-2763, charlielu@servtech.com.tw
53,巨研科技股份有限公司,115000000,,技術服務業,資料工具與技術, https://www.getech.com.tw/,高雄市左營區裕誠路392號14樓,07-5507380分機228,07-5507480, amber@getech.com.tw
