id,year,county,cause,sex,age_code,N
1,100,101,1,1,13,1
2,100,101,1,1,14,2
3,100,101,1,1,16,1
4,100,101,1,1,18,1
5,100,101,1,1,21,2
6,100,101,1,1,23,1
7,100,101,1,2,24,1
8,100,101,2,2,23,1
9,100,101,3,2,15,1
10,100,101,3,1,16,1
11,100,101,3,2,17,1
12,100,101,3,1,18,1
13,100,101,3,1,20,1
14,100,101,4,1,14,1
15,100,101,4,2,15,1
16,100,101,4,1,15,1
17,100,101,4,1,16,1
18,100,101,4,1,17,2
19,100,101,4,1,19,1
20,100,101,4,2,21,1
21,100,101,4,1,22,1
22,100,101,4,1,23,1
23,100,101,5,1,12,1
24,100,101,5,1,14,1
25,100,101,5,1,15,1
26,100,101,5,2,17,1
27,100,101,5,1,17,2
28,100,101,5,1,18,2
29,100,101,5,2,18,1
30,100,101,5,2,19,1
31,100,101,5,1,19,1
32,100,101,5,2,20,1
33,100,101,5,1,20,1
34,100,101,5,2,21,1
35,100,101,5,2,22,3
36,100,101,5,1,22,3
37,100,101,5,2,23,1
38,100,101,5,1,23,1
39,100,101,5,1,24,3
40,100,101,5,1,26,1
41,100,101,6,2,18,1
42,100,101,7,1,14,2
43,100,101,7,1,16,1
44,100,101,7,1,17,4
45,100,101,7,2,17,3
46,100,101,7,2,18,5
47,100,101,7,1,18,4
48,100,101,7,1,19,4
49,100,101,7,2,19,3
50,100,101,7,2,20,1
51,100,101,7,1,20,3
52,100,101,7,2,21,3
53,100,101,7,1,21,5
54,100,101,7,2,22,2
55,100,101,7,1,22,5
56,100,101,7,1,23,4
57,100,101,7,2,23,1
58,100,101,7,2,24,1
59,100,101,7,1,24,1
60,100,101,7,2,25,1
61,100,101,7,1,25,1
62,100,101,8,1,13,1
63,100,101,8,1,14,1
64,100,101,8,1,15,2
65,100,101,8,1,16,5
66,100,101,8,1,17,5
67,100,101,8,2,17,1
68,100,101,8,1,18,2
69,100,101,8,2,18,1
70,100,101,8,2,19,5
71,100,101,8,1,19,6
72,100,101,8,1,20,7
73,100,101,8,1,21,2
74,100,101,8,2,21,5
75,100,101,8,2,22,4
76,100,101,8,1,22,3
77,100,101,8,2,23,2
78,100,101,8,1,23,3
79,100,101,8,1,24,2
80,100,101,9,1,16,1
81,100,101,9,1,19,1
82,100,101,9,1,21,1
83,100,101,10,2,17,1
84,100,101,10,1,17,1
85,100,101,10,2,18,1
86,100,101,10,1,18,1
87,100,101,10,2,19,3
88,100,101,10,1,20,1
89,100,101,10,2,20,2
90,100,101,10,1,21,1
91,100,101,10,2,21,3
92,100,101,10,1,22,2
93,100,101,10,2,23,1
94,100,101,12,1,20,1
95,100,101,12,1,22,1
96,100,101,13,1,15,3
97,100,101,13,2,15,1
98,100,101,13,2,16,2
99,100,101,13,1,16,3
100,100,101,13,2,17,2
101,100,101,13,1,17,6
102,100,101,13,2,18,4
103,100,101,13,1,18,3
104,100,101,13,2,19,3
105,100,101,13,1,19,6
106,100,101,13,2,20,5
107,100,101,13,1,20,5
108,100,101,13,2,21,6
109,100,101,13,1,21,8
110,100,101,13,1,22,11
111,100,101,13,2,23,2
112,100,101,13,1,23,5
113,100,101,13,2,24,2
114,100,101,13,1,24,4
115,100,101,14,1,20,1
116,100,101,17,2,16,1
117,100,101,17,2,21,2
118,100,101,18,1,15,1
119,100,101,18,1,17,1
120,100,101,19,2,12,2
121,100,101,19,2,13,1
122,100,101,19,2,14,2
123,100,101,19,2,15,5
124,100,101,19,2,16,6
125,100,101,19,2,17,1
126,100,101,19,2,18,3
127,100,101,19,2,19,1
128,100,101,19,2,21,1
129,100,101,20,2,14,1
130,100,101,20,2,19,1
131,100,101,20,2,22,1
132,100,101,21,2,18,1
133,100,101,22,2,14,1
134,100,101,22,2,16,1
135,100,101,22,2,18,1
136,100,101,22,2,21,1
137,100,101,23,1,17,1
138,100,101,23,1,20,1
139,100,101,23,1,21,3
140,100,101,23,1,22,1
141,100,101,23,1,23,5
142,100,101,23,1,24,3
143,100,101,25,1,18,1
144,100,101,25,2,20,1
145,100,101,25,1,21,2
146,100,101,25,1,22,1
147,100,101,25,2,22,1
148,100,101,25,2,23,1
149,100,101,25,1,24,1
150,100,101,26,2,14,1
151,100,101,26,2,18,1
152,100,101,26,2,22,1
153,100,101,26,1,23,2
154,100,101,27,1,8,1
155,100,101,27,1,9,1
156,100,101,27,1,12,1
157,100,101,27,1,15,1
158,100,101,27,1,17,1
159,100,101,27,2,17,1
160,100,101,27,1,19,1
161,100,101,27,1,22,2
162,100,101,27,2,23,1
163,100,101,27,2,24,1
164,100,101,29,2,20,1
165,100,101,31,2,18,1
166,100,101,31,1,18,1
167,100,101,31,1,20,1
168,100,101,31,2,20,1
169,100,101,31,1,21,1
170,100,101,31,2,21,1
171,100,101,31,1,22,3
172,100,101,31,2,22,1
173,100,101,31,2,23,1
174,100,101,31,1,23,1
175,100,101,31,2,24,1
176,100,101,32,1,11,1
177,100,101,32,2,17,1
178,100,101,32,1,17,1
179,100,101,32,2,18,1
180,100,101,32,2,19,1
181,100,101,32,1,19,1
182,100,101,32,1,20,1
183,100,101,32,2,21,1
184,100,101,32,2,22,1
185,100,101,33,1,16,1
186,100,101,33,2,16,1
187,100,101,33,2,17,1
188,100,101,33,1,18,3
189,100,101,33,1,19,5
190,100,101,33,2,20,2
191,100,101,33,1,20,2
192,100,101,33,2,21,1
193,100,101,33,1,22,1
194,100,101,33,2,22,1
195,100,101,33,2,23,1
196,100,101,33,1,23,1
197,100,101,33,1,24,2
198,100,101,33,2,24,1
199,100,102,1,1,15,2
200,100,102,1,1,18,1
201,100,102,1,2,18,2
202,100,102,1,1,20,1
203,100,102,1,2,21,1
204,100,102,1,1,22,1
205,100,102,1,1,23,1
206,100,102,2,2,15,1
207,100,102,3,1,9,1
208,100,102,3,1,14,1
209,100,102,3,2,16,1
210,100,102,3,1,18,1
211,100,102,3,2,18,1
212,100,102,3,1,19,2
213,100,102,3,1,21,1
214,100,102,4,1,14,1
215,100,102,4,1,15,1
216,100,102,4,1,16,1
217,100,102,4,1,17,4
218,100,102,4,1,18,1
219,100,102,4,1,19,1
220,100,102,4,1,20,1
221,100,102,4,1,21,2
222,100,102,4,1,24,1
223,100,102,5,1,15,1
224,100,102,5,1,16,1
225,100,102,5,1,17,3
226,100,102,5,2,17,1
227,100,102,5,1,18,2
228,100,102,5,2,19,1
229,100,102,5,1,19,1
230,100,102,5,1,21,1
231,100,102,5,2,21,2
232,100,102,5,1,22,2
233,100,102,5,2,22,2
234,100,102,5,1,23,4
235,100,102,5,2,24,1
236,100,102,7,2,12,2
237,100,102,7,2,13,1
238,100,102,7,2,15,1
239,100,102,7,1,16,2
240,100,102,7,2,16,6
241,100,102,7,1,17,4
242,100,102,7,2,17,1
243,100,102,7,1,18,4
244,100,102,7,2,18,5
245,100,102,7,1,19,2
246,100,102,7,2,19,4
247,100,102,7,1,20,4
248,100,102,7,2,20,9
249,100,102,7,1,21,6
250,100,102,7,2,21,4
251,100,102,7,1,22,5
252,100,102,7,2,22,5
253,100,102,7,1,23,4
254,100,102,7,2,23,7
255,100,102,7,1,24,3
256,100,102,7,2,24,2
257,100,102,7,1,25,1
258,100,102,7,2,25,1
259,100,102,8,2,4,1
260,100,102,8,2,13,1
261,100,102,8,1,14,2
262,100,102,8,1,15,1
263,100,102,8,1,16,3
264,100,102,8,2,16,1
265,100,102,8,2,17,2
266,100,102,8,1,17,4
267,100,102,8,1,18,3
268,100,102,8,2,18,3
269,100,102,8,1,19,4
270,100,102,8,2,19,1
271,100,102,8,1,20,6
272,100,102,8,2,20,1
273,100,102,8,1,21,7
274,100,102,8,2,21,7
275,100,102,8,1,22,7
276,100,102,8,2,22,3
277,100,102,8,2,23,1
278,100,102,8,1,23,2
279,100,102,8,1,24,2
280,100,102,8,2,24,4
281,100,102,8,1,25,1
282,100,102,8,2,25,1
283,100,102,9,2,17,1
284,100,102,9,2,18,2
285,100,102,9,2,19,2
286,100,102,9,1,20,1
287,100,102,9,1,22,1
288,100,102,9,1,23,1
289,100,102,9,2,23,1
290,100,102,10,1,15,2
291,100,102,10,2,16,1
292,100,102,10,1,16,2
293,100,102,10,1,18,1
294,100,102,10,2,18,1
295,100,102,10,1,19,1
296,100,102,10,2,19,1
297,100,102,10,2,20,1
298,100,102,10,1,21,2
299,100,102,10,2,21,3
300,100,102,10,2,22,2
301,100,102,10,1,22,4
302,100,102,10,1,23,1
303,100,102,10,2,24,1
304,100,102,12,1,23,1
305,100,102,13,2,14,1
306,100,102,13,1,14,1
307,100,102,13,2,16,3
308,100,102,13,1,16,4
309,100,102,13,1,17,3
310,100,102,13,2,17,1
311,100,102,13,2,18,3
312,100,102,13,1,18,1
313,100,102,13,1,19,9
314,100,102,13,2,19,6
315,100,102,13,1,20,8
316,100,102,13,2,20,8
317,100,102,13,1,21,14
318,100,102,13,2,21,2
319,100,102,13,2,22,8
320,100,102,13,1,22,8
321,100,102,13,2,23,3
322,100,102,13,1,23,16
323,100,102,13,2,24,3
324,100,102,13,1,24,5
325,100,102,16,1,21,1
326,100,102,17,2,13,1
327,100,102,17,2,15,1
328,100,102,17,1,16,1
329,100,102,17,2,22,1
330,100,102,17,2,25,1
331,100,102,18,1,18,1
332,100,102,18,1,19,1
333,100,102,18,2,21,1
334,100,102,18,2,22,2
335,100,102,18,1,23,1
336,100,102,19,2,13,2
337,100,102,19,2,14,1
338,100,102,19,2,15,8
339,100,102,19,2,16,5
340,100,102,19,2,17,7
341,100,102,19,2,18,2
342,100,102,19,2,20,3
343,100,102,19,2,21,2
344,100,102,19,2,22,2
345,100,102,19,2,23,4
346,100,102,19,2,25,1
347,100,102,20,2,16,1
348,100,102,20,2,17,1
349,100,102,20,2,18,1
350,100,102,20,2,19,1
351,100,102,20,2,20,1
352,100,102,20,2,21,1
353,100,102,20,2,23,1
354,100,102,20,2,25,1
355,100,102,21,2,15,1
356,100,102,21,2,22,1
357,100,102,22,2,14,2
358,100,102,22,2,17,1
359,100,102,22,2,18,1
360,100,102,22,2,19,1
361,100,102,22,2,21,1
362,100,102,22,2,23,1
363,100,102,23,1,19,1
364,100,102,23,1,20,1
365,100,102,23,1,21,4
366,100,102,23,1,22,9
367,100,102,23,1,23,3
368,100,102,23,1,24,3
369,100,102,23,1,25,2
370,100,102,25,1,18,2
371,100,102,25,1,20,1
372,100,102,25,1,21,2
373,100,102,25,2,22,1
374,100,102,25,1,22,2
375,100,102,26,2,16,1
376,100,102,26,1,17,1
377,100,102,26,1,18,1
378,100,102,26,1,23,2
379,100,102,26,2,24,1
380,100,102,26,1,25,1
381,100,102,27,1,8,1
382,100,102,27,2,15,1
383,100,102,27,1,17,1
384,100,102,27,1,19,1
385,100,102,27,1,20,2
386,100,102,27,2,21,1
387,100,102,27,1,23,1
388,100,102,29,1,18,1
389,100,102,29,2,20,1
390,100,102,29,2,23,1
391,100,102,31,1,9,1
392,100,102,31,1,16,1
393,100,102,31,2,17,1
394,100,102,31,1,18,1
395,100,102,31,1,19,1
396,100,102,31,2,20,1
397,100,102,31,2,21,1
398,100,102,31,1,21,1
399,100,102,31,1,22,3
400,100,102,31,2,23,1
401,100,102,31,1,23,2
402,100,102,31,2,24,1
403,100,102,31,1,24,3
404,100,102,32,1,2,1
405,100,102,32,2,14,1
406,100,102,32,1,15,1
407,100,102,32,2,18,1
408,100,102,32,1,18,1
409,100,102,32,2,19,1
410,100,102,32,1,20,2
411,100,102,32,1,21,2
412,100,102,32,2,22,1
413,100,102,32,1,22,2
414,100,102,32,2,23,1
415,100,102,32,1,23,4
416,100,102,32,2,24,1
417,100,102,32,1,24,1
418,100,102,33,2,11,1
419,100,102,33,2,14,1
420,100,102,33,1,14,2
421,100,102,33,1,16,1
422,100,102,33,1,17,2
423,100,102,33,1,18,3
424,100,102,33,2,19,1
425,100,102,33,1,19,1
426,100,102,33,2,20,3
427,100,102,33,1,20,5
428,100,102,33,2,21,4
429,100,102,33,1,21,4
430,100,102,33,2,22,3
431,100,102,33,1,22,7
432,100,102,33,2,23,2
433,100,102,33,1,23,3
434,100,102,33,2,24,1
435,100,102,33,1,24,1
436,100,102,33,1,25,2
437,100,109,1,1,14,2
438,100,109,1,1,15,1
439,100,109,1,1,16,1
440,100,109,1,1,17,1
441,100,109,1,1,18,1
442,100,109,1,1,19,4
443,100,109,1,1,20,2
444,100,109,1,1,21,1
445,100,109,1,1,22,1
446,100,109,3,2,17,1
447,100,109,3,2,19,1
448,100,109,3,2,20,1
449,100,109,4,1,16,2
450,100,109,4,1,17,2
451,100,109,4,1,20,1
452,100,109,5,1,13,1
453,100,109,5,2,14,1
454,100,109,5,2,15,1
455,100,109,5,1,17,1
456,100,109,5,1,19,1
457,100,109,5,2,19,1
458,100,109,5,1,20,2
459,100,109,5,2,20,1
460,100,109,5,1,21,1
461,100,109,5,1,22,4
462,100,109,5,2,22,1
463,100,109,5,2,23,1
464,100,109,7,2,14,1
465,100,109,7,1,15,2
466,100,109,7,1,17,1
467,100,109,7,1,18,2
468,100,109,7,1,19,2
469,100,109,7,2,19,1
470,100,109,7,2,20,3
471,100,109,7,1,20,2
472,100,109,7,1,21,2
473,100,109,7,2,21,1
474,100,109,7,2,22,3
475,100,109,7,1,22,1
476,100,109,7,1,23,1
477,100,109,7,2,23,2
478,100,109,7,2,24,1
479,100,109,7,2,26,1
480,100,109,8,2,13,1
481,100,109,8,1,14,1
482,100,109,8,1,15,1
483,100,109,8,1,16,6
484,100,109,8,1,17,3
485,100,109,8,2,17,1
486,100,109,8,1,18,1
487,100,109,8,2,18,1
488,100,109,8,1,19,1
489,100,109,8,2,19,1
490,100,109,8,1,20,5
491,100,109,8,2,20,1
492,100,109,8,1,21,1
493,100,109,8,2,21,5
494,100,109,8,2,22,1
495,100,109,8,1,23,2
496,100,109,8,2,23,2
497,100,109,8,1,24,1
498,100,109,8,2,24,1
499,100,109,9,1,18,1
500,100,109,9,2,19,1
501,100,109,9,1,23,1
502,100,109,10,1,15,1
503,100,109,10,2,16,1
504,100,109,10,2,18,1
505,100,109,10,2,19,1
506,100,109,10,2,20,1
507,100,109,10,1,20,1
508,100,109,10,2,21,2
509,100,109,10,2,23,1
510,100,109,10,1,24,1
511,100,109,11,1,24,1
512,100,109,12,1,22,1
513,100,109,13,2,12,1
514,100,109,13,2,14,1
515,100,109,13,1,15,1
516,100,109,13,1,16,3
517,100,109,13,2,16,3
518,100,109,13,1,17,3
519,100,109,13,2,17,3
520,100,109,13,1,18,1
521,100,109,13,2,18,1
522,100,109,13,1,19,5
523,100,109,13,2,19,2
524,100,109,13,1,20,7
525,100,109,13,2,20,3
526,100,109,13,1,21,10
527,100,109,13,2,21,2
528,100,109,13,1,22,5
529,100,109,13,2,22,4
