,year,county,cause,sex,age_code,N
1,108,Taipei City,口腔癌,男,45-49歲,3
2,108,Taipei City,口腔癌,男,60-64歲,2
3,108,Taipei City,口腔癌,男,65-69歲,2
4,108,Taipei City,口腔癌,男,70-74歲,1
5,108,Taipei City,口腔癌,男,80-84歲,1
6,108,Taipei City,主唾液腺癌,女,60-64歲,1
7,108,Taipei City,鼻咽癌,男,60-64歲,1
8,108,Taipei City,鼻咽癌,男,65-69歲,1
9,108,Taipei City,鼻咽癌,女,65-69歲,1
10,108,Taipei City,食道癌,男,50-54歲,1
11,108,Taipei City,食道癌,男,65-69歲,1
12,108,Taipei City,食道癌,男,85-89歲,1
13,108,Taipei City,食道癌,女,55-59歲,1
14,108,Taipei City,胃癌,男,55-59歲,3
15,108,Taipei City,胃癌,男,70-74歲,2
16,108,Taipei City,胃癌,男,75-79歲,1
17,108,Taipei City,胃癌,男,80-84歲,1
18,108,Taipei City,胃癌,男,85-89歲,4
19,108,Taipei City,胃癌,男,90-94歲,1
20,108,Taipei City,胃癌,男,95-99歲,1
21,108,Taipei City,胃癌,女,60-64歲,1
22,108,Taipei City,胃癌,女,65-69歲,1
23,108,Taipei City,胃癌,女,75-79歲,2
24,108,Taipei City,胃癌,女,80-84歲,4
25,108,Taipei City,胃癌,女,90-94歲,2
26,108,Taipei City,胃癌,女,95-99歲,1
27,108,Taipei City,小腸癌,女,65-69歲,1
28,108,Taipei City,結腸、直腸和肛門癌,男,50-54歲,1
29,108,Taipei City,結腸、直腸和肛門癌,男,55-59歲,2
30,108,Taipei City,結腸、直腸和肛門癌,男,60-64歲,1
31,108,Taipei City,結腸、直腸和肛門癌,男,65-69歲,4
32,108,Taipei City,結腸、直腸和肛門癌,男,70-74歲,5
33,108,Taipei City,結腸、直腸和肛門癌,男,75-79歲,12
34,108,Taipei City,結腸、直腸和肛門癌,男,80-84歲,2
35,108,Taipei City,結腸、直腸和肛門癌,男,85-89歲,2
36,108,Taipei City,結腸、直腸和肛門癌,男,90-94歲,4
37,108,Taipei City,結腸、直腸和肛門癌,女,40-44歲,1
38,108,Taipei City,結腸、直腸和肛門癌,女,50-54歲,1
39,108,Taipei City,結腸、直腸和肛門癌,女,55-59歲,1
40,108,Taipei City,結腸、直腸和肛門癌,女,65-69歲,3
41,108,Taipei City,結腸、直腸和肛門癌,女,70-74歲,2
42,108,Taipei City,結腸、直腸和肛門癌,女,75-79歲,2
43,108,Taipei City,結腸、直腸和肛門癌,女,80-84歲,4
44,108,Taipei City,結腸、直腸和肛門癌,女,85-89歲,3
45,108,Taipei City,結腸、直腸和肛門癌,女,90-94歲,2
46,108,Taipei City,結腸、直腸和肛門癌,女,95-99歲,2
47,108,Taipei City,肝和肝內膽管癌,男,45-49歲,1
48,108,Taipei City,肝和肝內膽管癌,男,50-54歲,4
49,108,Taipei City,肝和肝內膽管癌,男,55-59歲,2
50,108,Taipei City,肝和肝內膽管癌,男,65-69歲,5
51,108,Taipei City,肝和肝內膽管癌,男,70-74歲,4
52,108,Taipei City,肝和肝內膽管癌,男,75-79歲,5
53,108,Taipei City,肝和肝內膽管癌,男,80-84歲,4
54,108,Taipei City,肝和肝內膽管癌,男,85-89歲,4
55,108,Taipei City,肝和肝內膽管癌,女,65-69歲,4
56,108,Taipei City,肝和肝內膽管癌,女,90-94歲,1
57,108,Taipei City,膽囊和其他膽道癌,男,45-49歲,1
58,108,Taipei City,膽囊和其他膽道癌,男,55-59歲,1
59,108,Taipei City,膽囊和其他膽道癌,男,60-64歲,1
60,108,Taipei City,膽囊和其他膽道癌,男,65-69歲,2
61,108,Taipei City,膽囊和其他膽道癌,男,95-99歲,1
62,108,Taipei City,膽囊和其他膽道癌,女,70-74歲,1
63,108,Taipei City,膽囊和其他膽道癌,女,75-79歲,1
64,108,Taipei City,胰臟癌,男,45-49歲,1
65,108,Taipei City,胰臟癌,男,55-59歲,3
66,108,Taipei City,胰臟癌,男,65-69歲,1
67,108,Taipei City,胰臟癌,男,75-79歲,1
68,108,Taipei City,胰臟癌,男,85-89歲,2
69,108,Taipei City,胰臟癌,男,90-94歲,2
70,108,Taipei City,胰臟癌,女,55-59歲,1
71,108,Taipei City,胰臟癌,女,60-64歲,4
72,108,Taipei City,胰臟癌,女,65-69歲,2
73,108,Taipei City,胰臟癌,女,70-74歲,2
74,108,Taipei City,胰臟癌,女,75-79歲,1
75,108,Taipei City,胰臟癌,女,80-84歲,1
76,108,Taipei City,胰臟癌,女,85-89歲,1
77,108,Taipei City,鼻腔、中耳和副鼻竇癌,男,55-59歲,1
78,108,Taipei City,鼻腔、中耳和副鼻竇癌,女,45-49歲,1
79,108,Taipei City,喉癌,男,65-69歲,1
80,108,Taipei City,喉癌,男,85-89歲,1
81,108,Taipei City,喉癌,女,85-89歲,1
82,108,Taipei City,氣管、支氣管和肺癌,男,45-49歲,1
83,108,Taipei City,氣管、支氣管和肺癌,男,55-59歲,4
84,108,Taipei City,氣管、支氣管和肺癌,男,60-64歲,3
85,108,Taipei City,氣管、支氣管和肺癌,男,65-69歲,7
86,108,Taipei City,氣管、支氣管和肺癌,男,70-74歲,3
87,108,Taipei City,氣管、支氣管和肺癌,男,75-79歲,2
88,108,Taipei City,氣管、支氣管和肺癌,男,80-84歲,6
89,108,Taipei City,氣管、支氣管和肺癌,男,85-89歲,5
90,108,Taipei City,氣管、支氣管和肺癌,男,90-94歲,5
91,108,Taipei City,氣管、支氣管和肺癌,男,95-99歲,2
92,108,Taipei City,氣管、支氣管和肺癌,女,45-49歲,1
93,108,Taipei City,氣管、支氣管和肺癌,女,55-59歲,2
94,108,Taipei City,氣管、支氣管和肺癌,女,60-64歲,2
95,108,Taipei City,氣管、支氣管和肺癌,女,65-69歲,2
96,108,Taipei City,氣管、支氣管和肺癌,女,70-74歲,6
97,108,Taipei City,氣管、支氣管和肺癌,女,75-79歲,3
98,108,Taipei City,氣管、支氣管和肺癌,女,80-84歲,4
99,108,Taipei City,氣管、支氣管和肺癌,女,85-89歲,4
100,108,Taipei City,氣管、支氣管和肺癌,女,90-94歲,2
101,108,Taipei City,氣管、支氣管和肺癌,女,100歲以上,1
102,108,Taipei City,胸腺癌,男,95-99歲,1
103,108,Taipei City,胸腺癌,女,70-74歲,1
104,108,Taipei City,黑色素瘤和其他皮膚癌,男,35-39歲,1
105,108,Taipei City,黑色素瘤和其他皮膚癌,女,90-94歲,1
106,108,Taipei City,黑色素瘤和其他皮膚癌,女,95-99歲,1
107,108,Taipei City,間皮和軟組織癌,男,75-79歲,1
108,108,Taipei City,間皮和軟組織癌,女,35-39歲,1
109,108,Taipei City,間皮和軟組織癌,女,40-44歲,1
110,108,Taipei City,間皮和軟組織癌,女,55-59歲,1
111,108,Taipei City,間皮和軟組織癌,女,60-64歲,1
112,108,Taipei City,間皮和軟組織癌,女,75-79歲,1
113,108,Taipei City,女性乳房癌,女,40-44歲,2
114,108,Taipei City,女性乳房癌,女,45-49歲,1
115,108,Taipei City,女性乳房癌,女,50-54歲,2
116,108,Taipei City,女性乳房癌,女,55-59歲,3
117,108,Taipei City,女性乳房癌,女,60-64歲,4
118,108,Taipei City,女性乳房癌,女,65-69歲,3
119,108,Taipei City,女性乳房癌,女,70-74歲,4
120,108,Taipei City,女性乳房癌,女,75-79歲,5
121,108,Taipei City,女性乳房癌,女,80-84歲,1
122,108,Taipei City,女性乳房癌,女,90-94歲,2
123,108,Taipei City,子宮體癌,女,60-64歲,1
124,108,Taipei City,子宮體癌,女,65-69歲,2
125,108,Taipei City,子宮體癌,女,80-84歲,1
126,108,Taipei City,卵巢癌,女,50-54歲,1
127,108,Taipei City,卵巢癌,女,65-69歲,1
128,108,Taipei City,卵巢癌,女,75-79歲,1
129,108,Taipei City,前列腺(攝護腺)癌,男,65-69歲,1
130,108,Taipei City,前列腺(攝護腺)癌,男,70-74歲,1
131,108,Taipei City,前列腺(攝護腺)癌,男,75-79歲,1
132,108,Taipei City,前列腺(攝護腺)癌,男,80-84歲,2
133,108,Taipei City,前列腺(攝護腺)癌,男,85-89歲,4
134,108,Taipei City,前列腺(攝護腺)癌,男,90-94歲,4
135,108,Taipei City,前列腺(攝護腺)癌,男,95-99歲,1
136,108,Taipei City,腎臟癌,男,90-94歲,1
137,108,Taipei City,腎臟癌,女,65-69歲,1
138,108,Taipei City,膀胱癌,男,55-59歲,1
139,108,Taipei City,膀胱癌,男,60-64歲,1
140,108,Taipei City,膀胱癌,男,70-74歲,1
141,108,Taipei City,膀胱癌,男,80-84歲,1
142,108,Taipei City,膀胱癌,男,85-89歲,2
143,108,Taipei City,膀胱癌,女,80-84歲,1
144,108,Taipei City,膀胱癌,女,85-89歲,1
145,108,Taipei City,膀胱癌,女,90-94歲,1
146,108,Taipei City,腦癌,男,45-49歲,1
147,108,Taipei City,腦癌,男,50-54歲,2
148,108,Taipei City,腦癌,男,60-64歲,2
149,108,Taipei City,腦癌,男,70-74歲,1
150,108,Taipei City,腦癌,男,75-79歲,1
151,108,Taipei City,腦癌,女,一歲,1
152,108,Taipei City,腦癌,女,40-44歲,1
153,108,Taipei City,腦癌,女,60-64歲,1
154,108,Taipei City,腦癌,女,80-84歲,1
155,108,Taipei City,腦膜及中樞神經系統其他部份癌(腦除外),男,80-84歲,1
156,108,Taipei City,甲狀腺癌,女,60-64歲,1
157,108,Taipei City,甲狀腺癌,女,75-79歲,1
158,108,Taipei City,非何杰金氏淋巴瘤,男,40-44歲,1
159,108,Taipei City,非何杰金氏淋巴瘤,男,50-54歲,1
160,108,Taipei City,非何杰金氏淋巴瘤,男,55-59歲,1
161,108,Taipei City,非何杰金氏淋巴瘤,男,65-69歲,1
162,108,Taipei City,非何杰金氏淋巴瘤,男,70-74歲,1
163,108,Taipei City,非何杰金氏淋巴瘤,男,75-79歲,1
164,108,Taipei City,非何杰金氏淋巴瘤,男,90-94歲,1
165,108,Taipei City,非何杰金氏淋巴瘤,女,60-64歲,1
166,108,Taipei City,非何杰金氏淋巴瘤,女,65-69歲,1
167,108,Taipei City,非何杰金氏淋巴瘤,女,80-84歲,2
168,108,Taipei City,非何杰金氏淋巴瘤,女,85-89歲,2
